title,review_score,title_num_words,contains_subheading
1001 winning chess sacrifices and combinations (Chess lovers library),4.333333333333333,9,0
"1001: A Video Odyssey, Movies to Watch for Your Every Mood (What to Eat, When to Watch, Great Movie Quotes)",4.1,20,1
"101 Activities for Kids in Tight Spaces: At the Doctor's Office, on Car, Train, and Plane Trips, Home Sick in Bed . . .",4.5,24,1
101 Amazing Things About God,4.916666666666667,5,0
101 Best Extra-Income Opportunities for Women,4.0,6,0
101 Best-Loved Poems (Dover Large Print Classics),3.6666666666666665,7,0
101 Cataclysms: For the Love of Cats,4.833333333333333,7,1
101 Classic Homes of the Twenties: Floor Plans and Photographs (Dover Architecture),4.0,12,1
101 Cool Pool Games for Children: Fun and Fitness for Swimmers of All Levels (SmartFun Activity Books),4.333333333333333,17,1
101 Countries: Discovering the World Through Fast Travel,4.7727272727272725,8,1
101 Crazy Quilt Blocks,5.0,4,0
101 DALMATIANS.,4.888888888888889,2,0
101 Damnations: The Humorists' Tour of Personal Hells,3.1666666666666665,8,1
101 Double-Ended Hook Stitches: Crochet (Crochet on the Double),4.75,9,1
101 Dynamite Answers to Interview Questions: No More Sweaty Palms,4.0,10,1
101 Great Science Experiments,4.48,4,0
101 Greatest Magic Secrets Exposed,3.4444444444444446,5,0
101 More Hymn Stories: The Inspiring True Stories Behind 101 Favorite Hymns,4.666666666666667,12,1
101 Most Powerful Promises in the Bible (101 Most Powerful Series),4.666666666666667,11,0
101 Must-See Movies for Gay Men,4.588235294117647,6,0
101 Mutual Fund FAQs: Straight Answers That Help You Make Good Investment Decisions,5.0,13,1
101 Poems That Could Save Your Life : An Anthology of Emotional First Aid,5.0,14,1
101 Poems To Get You Through The Day,4.0,8,0
101 Projects for Your Model Railroad,3.0,6,0
101 Questions & Answers on the Four Last Things (Responses to 101 Questions),4.0,13,0
101 Things I Wish I Knew When I Got Married: Simple Lessons to Make Love Last,4.611111111111111,16,1
101 Things to Do with a Tortilla,3.933333333333333,7,0
101 Unuseless Japanese Inventions,4.545454545454546,4,0
101 Ways to Add Joy To Your Life,5.0,8,0
101 Ways to Bug Your Parents,4.157894736842105,6,0
101 Ways to Have True Love in Your Life,4.0,9,0
101 Ways to Jump Start Your Intuition,4.6,7,0
101 Ways to Massively Increase the Value of Your Real Estate without Spending Much Money,3.12,15,0
101 Words You'll Probably Never Need to Know but Can Use to Impress People,5.0,14,0
101 favorite stories from the Bible,4.357142857142857,6,0
101st Airborne: The Screaming Eagles at Normandy,5.0,7,1
103 Great Poems: A Dual-Language Book (Dover Dual Language German) (German and English Edition),3.6666666666666665,14,1
103 Hikes in Southwestern British Columbia,3.0,6,0
1066,4.4,1,0
"1066 and all That: A Memorable History of England, comprising all the parts you can remember including one hundred and three good things, five bad kings and two genuine dates,",4.6,30,1
1089 and All That - A Journey into Mathematics,5.0,9,0
109 East Palace : Robert Oppenheimer and the Secret City of Los Alamos,4.5777777777777775,13,1
"11 Days in December: Christmas at the Bulge, 1944",3.4074074074074074,9,1
"11 Practice Tests for the New SAT and PSAT, 2006 Edition (College Test Prep)",3.357142857142857,14,0
"11,000 Years Lost",4.142857142857143,3,0
"11. St. Gregory the Great, Pastoral Care (Ancient Christian Writers)",4.5,10,0
11/9 : Autopsie des terrorismes (French Edition),3.0,7,1
110 People Who Are Screwing Up America (and Al Franken Is #37),3.533333333333333,12,0
1100 Words You Need to Know,4.433962264150943,6,0
12 Again,4.583333333333333,2,0
12 Edmonstone Street,3.0,3,0
12 Miles to Paradise: A People Story About Horses & Horseracing,4.666666666666667,11,1
12 Steps for the Recovering Pharisee (like me),4.794117647058823,8,0
12 Tips for Anna Karenina,5.0,5,0
"12,000 Miles in the Nick of Time: A Family Tale",4.0,10,1
"12,000 Miles in the Nick of Time: A Semi-Dysfunctional Family Circumnavigates the Globe (An Evergreen book)",4.5,16,1
125 Best Cheesecake Recipes,4.658536585365853,4,0
125 Best Vegetarian Slow Cooker Recipes,3.979591836734694,6,0
13 Cent Killers: The 5th Marine Snipers in Vietnam,2.4318181818181817,9,1
13 Ghosts: Strange but True Stories,5.0,6,1
13 Little Blue Envelopes,4.04516129032258,4,0
13 Stories,5.0,2,0
13: Thirteen Stories That Capture the Agony and Ecstasy of Being Thirteen,4.333333333333333,12,1
1453: The Holy War for Constantinople and the Clash of Islam and the West,4.446153846153846,14,1
15 Minute Devotions for Couples,4.0,5,0
15 Seconds,3.0,2,0
15-Minute Cook,4.0,2,0
"150 Favorite Crochet Designs (Dover Knitting, Crochet, Tatting, Lace)",4.5,9,0
1560 Geneva Bible,4.0,3,0
"16 Lighthouse Road (Cedar Cove, Book 1)",4.2481203007518795,7,0
1632 (The Assiti Shards),3.8565022421524664,4,0
1634: The Galileo Affair (Assiti Shards),2.8518518518518516,6,1
1634: The Ram Rebellion (Assiti Shards),2.557142857142857,6,1
1688: A Global History,4.357142857142857,4,1
175 Ways to Get More Done In Less Time,4.428571428571429,9,0
1776 -- A Musical Play,4.5,5,0
"1794: America, Its Army, and the Birth of the Nation",4.666666666666667,10,1
180 More: Extraordinary Poems for Every Day,4.545454545454546,7,1
1812 : Napoleon in Moscow,5.0,5,1
1812: The Rivers of War,4.25,5,1
1812: The War That Forged a Nation,3.91044776119403,7,1
1876,3.88,1,0
1896 Boston Cooking-School Cookbook,4.785714285714286,4,0
1898: The Birth of the American Century,3.7777777777777777,7,1
18th Emergency,3.2,2,0
19 Gifts of the Spirit,4.1,5,0
1901: A Novel,3.1948051948051948,3,1
1911 Best Things Anybody Ever Said,3.75,6,0
1934: A Novel,4.0,3,1
1939 the Last Season of Peace,3.8333333333333335,6,0
1940s Hairstyles (Vintage Living),4.103448275862069,4,0
"1984, spring: A choice of futures",3.0,6,1
1st to Die: A Novel,3.918097754293263,5,1
2 Books in 1: My Big Animal and World Book,4.666666666666667,10,1
2 Peter and Jude MacArthur New Testament Commentary (Macarthur New Testament Commentary Serie),4.857142857142857,13,0
2 Thessalonians (LifeChange),5.0,3,0
"2,000 Miles To Open Road (Five Star First Edition Mystery)",4.75,10,0
"2,500 Solved Problems In Fluid Mechanics and Hydraulics",4.0,8,0
20 Days to the Top: How the PRECISE Selling Formula Will Make You Your Company's Top Sales Performer in Twenty Days or Less,4.142857142857143,23,1
20 Herbs to Take Outdoors: An Herbal First Aid Primer for the Outdoor Enthusiast (20 Herbs Series),5.0,17,1
20 Poemas De Amor Y Una Cancion Desesperada / 20 Poems And A Desperate Song (Joyas Edaf) (Spanish Edition),5.0,19,0
20/30 Fat & Fiber Diet Plan,3.9130434782608696,6,0
200 Original Shop Aids & Jigs For Woodworkers,4.285714285714286,8,0
2000 Miller Audit Procedures: Electronic Workpapers and Reference Guide (Miller Engagement Series),4.0,12,1
2000 Years of Charismatic Christianity: A 21st Century Look at Church History from a Pentecostal/Charismatic Perspective,4.217391304347826,16,1
2001 Guide to Antibiotic Use in the Emergency Department,5.0,9,0
"2001 Poet's Market (Poet's Market, 2001)",4.625,6,0
2001 World Book Encyclopedia Set - Complete Set of Encyclopedias - 22 Books,3.0,13,0
2001: A Space Odyssey,4.5251572327044025,4,1
2001: Filming the Future,4.75,4,1
2002 Media Guide Houston Astros,1.0,5,0
2005 Novel & Short Story Writer's Market,4.0,7,0
2005 Photographers Market,4.857142857142857,3,0
2005 World Book Encyclopedia Set - Complete Set - 22 Volumes,4.0,11,0
2006 Buff Gondoliers wall calendar,5.0,5,0
2006 Official Rules of Major League Baseball,5.0,7,0
"201 Hebrew Verbs Fully Conjugated in All the Tenses, Alphabetically Arranged.",3.8333333333333335,11,0
2010: Odyssey Two,4.330508474576271,3,1
2010: odyssey two,4.0,3,1
2018 a D Or the King Kong Blues,4.0,8,0
2020 Vision,4.5,2,0
203 Ways to Drive a Man Wild in Bed,4.03125,9,0
"204 Rosewood Lane (Cedar Cove, Book 2)",4.32051282051282,7,0
"20th Century American Short Stories, Revised Edition, Volume 2",5.0,9,0
20th Century Revolutions in Technology,4.333333333333333,5,0
20th-Century Architecture,4.0,2,0
21 Things I Wish My Broker Had Told Me: Practical Advice for New Real Estate Professionals.,4.385964912280702,16,1
"2176: Birth of the Belt Republic (Belt Republic, Book 1)",4.666666666666667,10,1
21: The Final Unfinished Voyage of Jack Aubrey,3.596774193548387,8,1
"21st Century Complete Medical Guide to Thoracic Outlet Syndrome: Authoritative Government Documents, Clinical References, and Practical Information for Patients and Physicians",1.0,21,1
22 Immutable Laws of Branding,3.9669421487603307,5,0
2201 Fascinating Facts: 2 Vols. in One,3.1666666666666665,7,1
"23 Minutes In Hell: One Man's Story About What He Saw, Heard, and Felt in that Place of Torment",3.8113590263691686,19,1
24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily,3.4936708860759493,19,1
"24 Hour Fitness Solutions : Lean, Fitness, Muscle, Performance -",4.0,10,1
24 Running Foot Strokes,5.0,4,0
24 Seconds to Shoot: The Birth and Improbable Rise of the National Basketball Association,4.333333333333333,14,1
"25 Basic Bible Studies: Including Two Contents, Two Realities",4.833333333333333,9,1
25 Best World War II Sites Pacific Theater (Greenline Historic Travel),4.5,11,0
25 Bridge Conventions You Should Know,4.754385964912281,6,0
25 Terrific Art Projects Based on Favorite Picture Books: Grades K-2 (Scholastic Professional Books),4.0,14,1
"25 vegetables anyone can grow,",5.0,5,0
2500 Solved Problems in Fluid Mechanics and Hydraulics (Schaum's Solved Problems),4.0,11,0
26 Miles to Boston: The Boston Marathon Experience from Hopkinton to Copley Square,4.2272727272727275,13,1
26 Nights: A Sexual Adventure,3.0,5,1
26 Volume Serendipity Collection (Moral reflections for the young),5.0,9,0
"263 Brain Busters: Just How Smart are You, Anyway? (Novels Series)",5.0,11,1
2666 (Narrativas Hispanicas) (Spanish Edition),4.375,5,0
27 Men Out: Baseball's Perfect Games,4.142857142857143,6,1
2DO Before I Die : The Do-It-Yourself Guide to the Rest of Your Life,4.666666666666667,14,1
3 Crucial Questions about Jesus,5.0,5,0
3 Minutes to a Pain-Free Life: The Groundbreaking Program for Total Body Pain Prevention and Rapid Relief,4.583333333333333,17,1
"3 Sides of You: Unlocking the Way You Think, Work, and Love; The Premier Tool for Personal Development from the Internet Leader in Self-perception Profiling and Analysis,",5.0,27,1
3 WEEKS,3.1,2,0
3-d Negotiation: Powerful Tools to Change the Game in Your Most Important Deals,4.777777777777778,13,1
30 Days Through the Bible: Understanding the Whole Story of God's Word (The Daily Bible),3.5,15,1
30 Days To Understanding What Christians Believe In 15 Minutes A Day Expanded Edition,4.333333333333333,14,0
30 Days in the South Pacific: True Stories of Escape to Paradise,4.0,12,1
30 Days to a Happier Marriage,5.0,6,0
30 Days to a More Powerful Vocabulary (New Revised Edition),4.103448275862069,10,0
30 Days to the GRE,2.6666666666666665,5,0
30 Ways to Wake Up Your Quiet Time!,5.0,8,0
3000 Degrees: The True Story of a Deadly Fire and the Men Who Fought It,4.781818181818182,15,1
3000 Years,3.5833333333333335,2,0
3001: The Final Odyssey (G K Hall Large Print Book Series),2.5787878787878786,11,1
31 Songs,4.5,2,0
"35 Best Books for Teaching U.S. Regions: Using Fiction to Help Students Explore the Geography, History, and Cultures of the Seven U.S. Regions-and Link Literature to Social Studies",4.5,28,1
350 Solved Electrical Engineering Problems,1.0,5,0
35mm Handbook,4.0,2,0
35th Anniversary Edition of The Latecomer,5.0,6,0
360 Degree Selling: How To Sell Biotechnology Products (Pharmaceutical Selling),4.285714285714286,10,1
365 Days Of Walking The Red Road: The Native American Path to Leading a Spiritual Life Every Day (Religion and Spirituality),4.306451612903226,21,1
365 Easy One Dish Meals Anniversary Edition,4.5,7,0
365 Good Reasons to Be a Vegetarian,3.5,7,0
365 Health and Happiness Boosters,4.818181818181818,5,0
365 Saints: Your Daily Guide to the Wisdom and Wonder of Their Lives,4.476190476190476,13,1
365 Simple Reminders: Ways to Keep Life Simple,2.5,8,1
365 Trivia Twist Devotions,4.8,4,0
365 Ways To Cook Hamburger,5.0,5,0
365 ways to cook hamburger and other ground meats,4.25,9,0
371 Harmonized Chorales and 69 Chorale Melodies with Figured Bass,4.75,10,0
"37th Hour, The",3.116279069767442,3,0
3ds max 6 Animation: CG Filmmaking from Concept to Completion (Consumer),4.909090909090909,11,1
4 Blondes,2.135064935064935,2,0
"4 Book SET Animal Sound Books, Jungle Rrrumble, Monkey Too!, Dribble Wibble, Where Is Frog?",5.0,15,0
"4 Steps to Financial Security for Lesbian and Gay Couples: Expert Advice for Reducing Your Tax Burden, Increasing Your Wealth, and Protecting Each Other",4.666666666666667,24,1
4 Zinas: A Story of Mothers and Daughters on the Mormon Frontier,3.6666666666666665,12,1
"4,000 Days: My Life and Survival in a Bangkok Prison",3.9444444444444446,10,1
40 Days To Personal Revolution a Breakth,4.0,7,0
40 Days to Personal Revolution: A Breakthrough Program to Radically Change Your Body and Awaken the Sacred Within Your Soul,4.310344827586207,20,1
40 Nights to Knowing the Sky: A Night-by-Night Sky-Watching Primer,4.5,10,1
40 Watts from Nowhere: A Journey into Pirate Radio,4.5,9,1
400 Greatest Jokes for Financial Professionals (includes Audio CD),2.8333333333333335,9,0
400 Must-Have Words for the TOEFL,4.242424242424242,6,0
400 Polymer Clay Designs: A Collection of Dynamic & Colorful Contemporary Work (500 Series),4.551724137931035,14,1
"401 Ways to Get Your Kids to Work at Home: Household tested and proven effective! Techniques, tips, tricks, and strategies on how to get your kids to ... become self-reliant, responsible adults",3.909090909090909,32,1
401(k)s For Dummies,5.0,3,0
"43,000 Years Later ( First Paperback Edition )",4.0,8,0
44 Dublin Made Me,4.238095238095238,4,0
44 Scotland Street,3.8990825688073394,3,0
45 Seconds from Broadway (A Play),5.0,6,0
450 Two-Story Home Plans,5.0,4,0
47 Ronin Story,4.257142857142857,3,0
47th Street Black: A Novel,4.0,5,1
48 Laws of Power,4.149739583333333,4,0
4th of July (Women's Murder Club),3.996598639455782,6,0
5 Minute Theologian: Maximum Truth in Minimum Time (TH1NK LifeChange),4.6,10,1
"5-Minute Math Problem of the Day: 250 Fun, Multi-Step Problems That Sharpen Math Reasoning, Number Sense, and Computation Skills",4.333333333333333,19,1
5-Minute New Testament NLT,4.75,4,0
50 Essays: A Portable Anthology,3.85,5,1
50 Essential Things to Do when the Doctor Says It's Cancer (Plume),4.857142857142857,12,0
50 Fast Digital Camera Techniques (50 Fast Techniques Series),4.388888888888889,9,0
50 Fast Digital Photo Techniques with Photoshop Elements 3,3.9642857142857144,9,0
50 Great Curries of India (Card Edition),4.428571428571429,7,0
50 Relatives Worse Than Yours,3.6,5,0
"50 Secrets of Magic Craftsmanship (Dover Fine Art, History of Art)",4.75,11,0
50 Simple Things Kids Can Do to Save the Earth,4.222222222222222,10,0
50 Simple Things You Can Do to Save the Earth,3.6666666666666665,10,0
50 Things You're Not Supposed to Know,3.388888888888889,7,0
50 month-by-month draw & write prompts,4.6,6,0
500 Best-Loved Song Lyrics (Dover Books on Music),4.875,8,0
500 Cross-Stitch Blocks,3.6666666666666665,3,0
500 Key Words for the SAT and How to Remember Them,4.37037037037037,11,0
"500 Low-Carb Recipes: 500 Recipes from Snacks to Dessert, That the Whole Family Will Love",4.315972222222222,15,1
500 Tips for Coping with Chron,4.0,6,0
5001 Nights at the Movies,4.214285714285714,5,0
501 French Verbs: Fully Conjugated in All the Tenses in a New Easy-To-Learn Format Alphabetically Arranged,4.7101449275362315,16,1
507 Mechanical Movements,5.0,3,0
55 Ways To Have Fun With Google,3.6666666666666665,7,0
5K and 10K Training,3.0,4,0
6 FEET UNDER,5.0,3,0
"6 x H: Six stories (Pyramid SF, G-642)",3.8,8,1
60 Hikes within 60 Miles: Washington DC,4.0,7,1
60 People to Avoid at the Water Cooler,3.5,8,0
62 Free Ways to Grow Your Business Profits,5.0,8,0
666: a novel,5.0,3,1
7 (Seven) Kinds of Smart: Identifying and Developing Your Multiple Intelligences,4.571428571428571,11,1
7 Chart Patterns That Consistently Make Money,2.8,7,0
7 Steps to Perfect Health,4.0,5,0
7 Ways to Build a Better You,5.0,7,0
7-Card Stud : 42 Lessons How to Win at Medium & Lower Limits,3.888888888888889,13,1
75 Years of the Oscar: The Official History of the Academy Awards,4.8,12,1
750 Italian Verbs and Their Uses (750 Verbs Series),3.5555555555555554,9,0
76 Hours: The Invasion of Tarawa,4.0,6,1
77 Rue Paradis (He met a gutter angel on the radway to hell),5.0,13,0
777 And Other Qabalistic Writings of Aleister Crowley: Including Gematria & Sepher Sephiroth,4.35,13,1
8 Ball Chicks: A Year in the Violent World of Girl Gangsters (ISBN: 0385474318),4.425,14,1
8 Simple Rules for Dating My Teenage Daughter,4.619047619047619,8,0
8 Weeks to a Healthy Dog,4.6,6,0
80/20 Management,4.0,2,0
802.11 Wireless Networks: The Definitive Guide (O'Reilly Networking),4.225,8,1
"8051 Microcontroller and Embedded Systems, The",3.375,6,0
85 Ways to Tie a Tie,4.4375,6,0
9 Highland Road: Sane Living for the Mentally Ill,4.642857142857143,9,1
9-11,3.697530864197531,1,0
90-day Fitness Plan,3.2,3,0
98 Reasons for Being,4.25,4,0
99 Cows,5.0,2,0
99 Fear Street: The First Horror/The Second Horror/The Third Horror (Fear Street Collector's Edition #11),4.3076923076923075,15,1
99 cows,5.0,2,0
A,3.269230769230769,1,0
A 3rd Serving Of Chicken Soup For The Soul - 101 More Stories To Open The Heart & Rekindle The Spirit,4.625,21,0
A 40 Point Guide to Peeing in New York (Volume 1),4.4,11,0
A 5th Portion Of Chicken Soup For The Soul - 101 More Stories To Open The Heart And Rekindle The Spirit,4.0,21,0
A Baby Book,5.0,3,0
A Bad Spell for the Worst Witch,4.0,7,0
A Bag of Marbles,4.454545454545454,4,0
"A Barrel of Laughs, a Vale of Tears",4.68,8,0
A Bawdy Language: How a Second-Rate Language Slept Its Way to the Top,4.0,13,1
A Bear Called Paddington,4.825,4,0
"A Bear For Miguel (Turtleback School & Library Binding Edition) (An I Can Read Book, Level 3)",3.5,17,0
A Beautiful Offering: Returning God's Love with Your Life,4.2727272727272725,9,1
A Beautiful Place to Die (Martha's Vineyard Mysteries (Avon Books)),4.166666666666667,10,0
"A Bed of Spices: Bed of Spices, A (Harper Monogram)",4.444444444444445,10,1
A Bedouin boyhood,5.0,3,0
"A Beginner's Guide to Creating Reality, Third Edition",4.0625,8,0
A Better War: The Unexamined Victories and Final Tragedy of America's Last Years in Vietnam,4.024096385542169,15,1
A Better Way: Rediscovering the Drama of God-Centered Worship,4.555555555555555,9,1
"A Bias for Action: How Effective Managers Harness Their Willpower, Achieve Results, and Stop Wasting Time",3.8333333333333335,16,1
A Bible Handbook to Revelation,4.666666666666667,5,0
A Biblical Theology of the New Testament,4.75,7,0
A Big Ball of String,5.0,5,0
A Big Cheese for the White House: The True Tale of a Tremendous Cheddar,5.0,14,1
A Big Storm Knocked It Over,3.6666666666666665,6,0
A Bird in the House,3.3636363636363638,5,0
A Bit of Madness,4.5,4,0
A Bite of Magic,4.6,4,0
"A Bitter Brew: Faith, Power, and Poison in a Small New England Town",3.510204081632653,13,1
A Bitter Revolution: China's Struggle with the Modern World,4.333333333333333,9,1
